Session_id,Start_time,Peak_viewers,Gifts_from_viewers,Number_of_products,Number_of_goods_sold,Total_sales_amount,Duration,Views,Average_number_of_online_viewers,Number_of_likes,Number_of_new_followers,Fan Conversion Ratio,Number_of_new_fans,Per_customer_transaction,UV,Sales_conversion_value_ratio,Average_length_of_stay,Name,Host_category,Occupation,Date
927,6/13/21 18:56,83115,168857,9,30009,2815440.61,4hours13minutes22seconds,2416208,45941,27392948,18310,0.76%,5367,93.82,1.17,1.24%,4minutes57seconds,Liu Fang Posture Corrector,K,We Media,6/13/21
928,6/13/21 7:55,61861,163744,1,0,0,3hours9minutes46seconds,1396644,43258,25305747,13395,0.96%,3871, ,0.01, ,6minutes1seconds,Liu Fang Posture Corrector,K,We Media,6/13/21
929,6/12/21 18:55,72280,121283,1,0,0,3hours6minutes16seconds,1743600,49798,31360184,16234,0.93%,2979, ,0.01, ,5minutes28seconds,Liu Fang Posture Corrector,K,We Media,6/12/21
930,6/12/21 7:55,67780,121665,1,0,0,3hours6minutes39seconds,1386813,41323,27205983,15720,1.13%,3418, ,0.01, ,5minutes42seconds,Liu Fang Posture Corrector,K,We Media,6/12/21
931,6/11/21 18:55,89460,208292,1,0,0,3hours11minutes22seconds,2091242,59621,30226395,21109,1.01%,4547, ,0.01, ,5minutes37seconds,Liu Fang Posture Corrector,K,We Media,6/11/21
932,6/11/21 7:55,82574,163020,14,30626,2727726.69,4hours33minutes46seconds,2191123,43918,29618469,18709,0.85%,4208,89.07,1.25,1.40%,5minutes34seconds,Liu Fang Posture Corrector,K,We Media,6/11/21
933,6/10/21 18:55,109712,214074,14,37997,3410730.8,4hours10minutes46seconds,3066801,61805,31996251,24218,0.79%,6029,89.76,1.12,1.24%,5minutes11seconds,Liu Fang Posture Corrector,K,We Media,6/10/21
934,6/10/21 7:55,87579,195659,1,0,0,3hours7minutes21seconds,1966520,62021,33531819,25250,1.28%,6323, ,0.01, ,6minutes3seconds,Liu Fang Posture Corrector,K,We Media,6/10/21
935,6/9/21 18:54,108102,245936,8,36096,3824711.81,4hours8minutes35seconds,2898559,67809,39055616,22843,0.79%,8357,105.96,1.33,1.25%,5minutes16seconds,Liu Fang Posture Corrector,K,We Media,6/9/21
936,6/9/21 7:55,89314,192334,9,37337,3748732.2,4hours5seconds,2491499,49899,31487919,23350,0.94%,6829,100.4,1.51,1.50%,4minutes59seconds,Liu Fang Posture Corrector,K,We Media,6/9/21
937,6/8/21 18:55,104578,164529,1,0,0,2hours54minutes30seconds,1945409,69110,40884395,18780,0.97%,4252, ,0.01, ,6minutes26seconds,Liu Fang Posture Corrector,K,We Media,6/8/21
938,6/8/21 7:55,84934,184850,14,19964,3148817,4hours22minutes14seconds,2433642,49278,32817219,22565,0.93%,6554,157.72,1.3,0.82%,5minutes20seconds,Liu Fang Posture Corrector,K,We Media,6/8/21
939,6/7/21 18:55,103009,186155,1,0,0,3hours12minutes1seconds,2080511,72128,42489095,21069,1.01%,6483, ,0.01, ,6minutes42seconds,Liu Fang Posture Corrector,K,We Media,6/7/21
940,6/7/21 7:55,69021,175299,1,0,0,3hours9minutes20seconds,1627485,52573,29093476,17442,1.07%,4250, ,0.01, ,6minutes8seconds,Liu Fang Posture Corrector,K,We Media,6/7/21
941,6/6/21 18:56,137604,315766,9,82660,15257576,4hours31minutes29seconds,4991196,74915,51859538,32199,0.65%,13841,184.58,3.06,1.66%,4minutes4seconds,Liu Fang Posture Corrector,K,We Media,6/6/21
942,6/6/21 7:55,76757,199182,1,0,0,3hours14minutes55seconds,1860859,54696,30779538,20107,1.08%,7667, ,0.01, ,5minutes49seconds,Liu Fang Posture Corrector,K,We Media,6/6/21
943,6/5/21 18:55,74738,181866,1,0,0,3hours4minutes59seconds,1588025,51267,40407453,12705,0.80%,3019, ,0.01, ,6minutes6seconds,Liu Fang Posture Corrector,K,We Media,6/5/21
944,6/5/21 7:55,66022,135235,1,0,0,3hours9minutes16seconds,1525985,44261,33330007,15451,1.01%,3130, ,0.01, ,5minutes38seconds,Liu Fang Posture Corrector,K,We Media,6/5/21
945,6/4/21 18:55,97811,206076,1,0,0,3hours6minutes10seconds,2063448,68805,36609335,22058,1.07%,5491, ,0.01, ,6minutes14seconds,Liu Fang Posture Corrector,K,We Media,6/4/21
946,6/4/21 7:55,2328553,212719,14,30235,5230997.8,3hours35minutes37seconds,2328553,0,33125725,25559,1.10%,0,173.01,2.26,1.30%,,Liu Fang Posture Corrector,K,We Media,6/4/21
947,6/3/21 18:55,125090,300247,7,22079,3708768,3hours49minutes20seconds,3148287,74367,37692996,34693,1.10%,14563,167.98,1.19,0.70%,5minutes33seconds,Liu Fang Posture Corrector,K,We Media,6/3/21
948,6/3/21 7:55,86909,182389,1,0,0,3hours8minutes47seconds,2137959,63751,36573737,30522,1.43%,5128, ,0.01, ,5minutes29seconds,Liu Fang Posture Corrector,K,We Media,6/3/21
949,6/2/21 20:00,97434,197852, , , ,1hours45minutes44seconds,2134093,71272,41883988,18799,0.88%,2518, ,0.01, ,3minutes45seconds,Liu Fang Posture Corrector,K,We Media,6/2/21
950,6/2/21 7:55,67260,121754,1,0,0,3hours5minutes17seconds,1184089,42967,32916685,10121,0.85%,2019, ,0.01, ,6minutes57seconds,Liu Fang Posture Corrector,K,We Media,6/2/21
951,6/1/21 18:56,88346,158724,1,0,0,3hours6minutes5seconds,1821394,65705,35839780,14894,0.82%,2897, ,0.01, ,6minutes23seconds,Liu Fang Posture Corrector,K,We Media,6/1/21
952,6/1/21 7:55,66000,135406,7,17427,1756493.02,3hours22minutes19seconds,1202813,39108,21634850,8107,0.67%,2832,100.79,1.47,1.45%,6minutes46seconds,Liu Fang Posture Corrector,K,We Media,6/1/21
953,8/29/21 20:01,97437,81222,85,289676,16974097.24,5hours45minutes18seconds,7517223,50023,12324260,66916,0.89%,8902,58.6,2.26,3.85%,2minutes30seconds,Rainbow Couple,K,We Media,8/29/21
954,8/29/21 12:01,120232,151034,66,436511,23176720.5,6hours7minutes23seconds,9946834,70330,24425017,115021,1.16%,24095,53.1,2.33,4.39%,2minutes37seconds,Rainbow Couple,K,We Media,8/29/21
955,8/24/21 20:06,101481,57876,60,281675,11600016.18,5hours10minutes5seconds,5633254,43487,9471120,50407,0.89%,6411,41.18,2.06,5.00%,2minutes31seconds,Rainbow Couple,K,We Media,8/24/21
956,8/18/21 19:02,89706,82621,89,391124,22620215.96,5hours41minutes35seconds,7072908,56049,12072861,62568,0.88%,10522,57.83,3.2,5.53%,2minutes42seconds,Rainbow Couple,K,We Media,8/18/21
957,8/15/21 20:01,79670,43731,78,250399,19157417.13,5hours12minutes49seconds,5479852,41381,5069193,45910,0.84%,-677,76.51,3.5,4.57%,2minutes24seconds,Rainbow Couple,K,We Media,8/15/21
958,8/15/21 10:02,70863,74737,72,342282,21390237.35,6hours16minutes44seconds,6766737,47381,11829683,70667,1.04%,9060,62.49,3.16,5.06%,2minutes40seconds,Rainbow Couple,K,We Media,8/15/21
959,8/8/21 19:59,55899,33579,76,220786,7569544.85,4hours29minutes3seconds,4065985,34642,4109347,27127,0.67%,3711,34.28,1.86,5.43%,2minutes20seconds,Rainbow Couple,K,We Media,8/8/21
960,8/8/21 12:00,98515,81752,106,414518,13335169.31,5hours47minutes49seconds,7507130,55018,11302239,80705,1.08%,10956,32.17,1.78,5.52%,2minutes35seconds,Rainbow Couple,K,We Media,8/8/21
961,8/3/21 20:00,133654,102164,94,428034,38482248.4,6hours29minutes59seconds,8525757,62806,15588735,82987,0.97%,11850,89.9,4.51,5.02%,2minutes53seconds,Rainbow Couple,K,We Media,8/3/21
962,8/3/21 12:00,234160,265947,61,414402,61848886.53,6hours20minutes17seconds,13678094,111868,35327890,198011,1.45%,34784,149.25,4.52,3.03%,3minutes9seconds,Rainbow Couple,K,We Media,8/3/21
963,7/25/21 20:55,66156,30486,81,87018,3841692.27,3hours25minutes40seconds,2745060,28562,6884340,21696,0.79%,4329,44.15,1.4,3.17%,2minutes9seconds,Rainbow Couple,K,We Media,7/25/21
964,7/25/21 16:15,91297,27735,66,44408,2337663.51,2hours29minutes36seconds,2192067,33535,16594219,32779,1.50%,3772,52.64,1.07,2.03%,2minutes20seconds,Rainbow Couple,K,We Media,7/25/21
965,7/25/21 16:09,30422,32,3,0,0,2minutes43seconds,30422,0,5740,12,0.04%,0, ,0, ,,Rainbow Couple,K,We Media,7/25/21
966,7/25/21 10:04,78911,66867,92,92774,5555496.19,3hours59minutes36seconds,4113719,40773,28451965,54011,1.31%,8874,59.88,1.35,2.26%,2minutes25seconds,Rainbow Couple,K,We Media,7/25/21
967,7/17/21 21:11,148181,100007,73,149152,10294199.08,3hours46minutes39seconds,5039323,59350,36060671,116751,2.32%,17236,69.02,2.04,2.96%,2minutes41seconds,Rainbow Couple,K,We Media,7/17/21
968,7/17/21 20:58,12437,21,11,0,0,2minutes28seconds,25733,4146,4783,14,0.05%,0, ,0, ,35seconds,Rainbow Couple,K,We Media,7/17/21
969,7/17/21 16:46,96157,70414,64,77499,5307129.98,3hours12minutes36seconds,3220840,42797,20463608,62481,1.94%,6994,68.48,1.65,2.41%,2minutes37seconds,Rainbow Couple,K,We Media,7/17/21
970,7/17/21 10:07,190182,160635,66,194708,16021312.28,3hours55minutes19seconds,6137400,80407,47970241,182864,2.98%,23788,82.28,2.61,3.17%,3minutes7seconds,Rainbow Couple,K,We Media,7/17/21
971,7/11/21 19:59,127239,232327,85,278007,16273863.43,4hours34minutes5seconds,8403463,82261,43023646,247940,2.95%,53361,58.54,1.94,3.31%,2minutes43seconds,Rainbow Couple,K,We Media,7/11/21
972,7/11/21 9:59,154666,290879,94,323676,20425339.95,6hours52minutes47seconds,10876438,76668,92918553,341795,3.14%,55208,63.1,1.88,2.98%,2minutes57seconds,Rainbow Couple,K,We Media,7/11/21
973,7/4/21 19:57,112620,163444,74,213593,17286756.83,4hours25minutes20seconds,7791330,79385,52830857,166507,2.14%,18212,80.93,2.22,2.74%,2minutes44seconds,Rainbow Couple,K,We Media,7/4/21
974,7/4/21 12:00,200052,306185,77,258252,23550712.29,5hours40minutes48seconds,11573681,102424,114942883,346600,2.99%,59990,91.19,2.04,2.23%,3minutes4seconds,Rainbow Couple,K,We Media,7/4/21
975,6/27/21 19:00,129074,250359,66,332087,25448532.49,5hours13minutes44seconds,9470206,90487,65527813,235964,2.49%,21869,76.63,2.69,3.51%,3minutes2seconds,Rainbow Couple,K,We Media,6/27/21
976,6/27/21 11:58,289485,623319,59,335820,42084451.67,5hours7minutes43seconds,13003129,157594,201713616,626964,4.82%,114543,125.32,3.24,2.58%,3minutes48seconds,Rainbow Couple,K,We Media,6/27/21
977,6/21/21 21:14,7738,1055,32,8845,549526.63,1hours56minutes33seconds,369691,4693,64918,1475,0.40%,594,62.13,1.49,2.39%,1minutes37seconds,Rainbow Couple,K,We Media,6/21/21
978,6/20/21 22:37,16124,1774,32,17416,1307054.47,2hours17minutes35seconds,538641,6438,127182,5826,1.08%,-172,75.05,2.43,3.23%,1minutes44seconds,Rainbow Couple,K,We Media,6/20/21
979,6/18/21 23:35,9520,1067,33,11613,770366.56,1hours57minutes34seconds,304901,4876,147180,3492,1.15%,503,66.34,2.53,3.81%,1minutes57seconds,Rainbow Couple,K,We Media,6/18/21
980,6/18/21 21:01,10501,1131,37,15223,1257185.1,2hours25minutes23seconds,488388,5936,208513,3371,0.69%,244,82.58,2.57,3.12%,1minutes52seconds,Rainbow Couple,K,We Media,6/18/21
981,6/17/21 21:59,10868,1043,49,15994,1027630.12,2hours27minutes,471817,5621,114014,2815,0.60%,31,64.25,2.18,3.39%,1minutes49seconds,Rainbow Couple,K,We Media,6/17/21
982,6/17/21 20:59,6508,700,46,4906,284724.21,52minutes16seconds,154381,4290,396757,671,0.43%,38,58.04,1.84,3.18%,1minutes33seconds,Rainbow Couple,K,We Media,6/17/21
983,6/17/21 11:46,17367,8858,41,49833,2726985.42,5hours15minutes34seconds,1282826,7287,2195417,16699,1.30%,1741,54.72,2.13,3.88%,1minutes49seconds,Rainbow Couple,K,We Media,6/17/21
984,6/16/21 21:16,8956,1899,32,18960,1085801.08,3hours16minutes34seconds,573842,5235,157969,3546,0.62%,82,57.27,1.89,3.30%,1minutes50seconds,Rainbow Couple,K,We Media,6/16/21
985,6/8/21 21:27,12654,1776,37,27610,1274800.57,3hours4minutes34seconds,735627,6056,139481,6726,0.91%,225,46.17,1.73,3.75%,1minutes41seconds,Rainbow Couple,K,We Media,6/8/21
986,6/8/21 21:00,1861,206,16,1044,17145.5,20minutes26seconds,18105,944,100150,71,0.39%,0,16.42,0.95,5.77%,1minutes27seconds,Rainbow Couple,K,We Media,6/8/21
987,6/5/21 21:01,8272,1224,36,13370,1134073.98,3hours14minutes39seconds,536970,4342,105652,3126,0.58%,178,84.82,2.11,2.49%,1minutes32seconds,Rainbow Couple,K,We Media,6/5/21
988,6/3/21 22:10,12590,2255,25,35538,1831791.14,2hours46minutes57seconds,1068272,6623,203924,9248,0.87%,258,51.54,1.71,3.33%,1minutes6seconds,Rainbow Couple,K,We Media,6/3/21
989,6/2/21 21:07,4505,1054,45,10873,741086.63,3hours34minutes21seconds,429085,2673,81233,1554,0.36%,109,68.16,1.73,2.53%,1minutes27seconds,Rainbow Couple,K,We Media,6/2/21
990,6/1/21 21:00,7440,1906,34,10877,687049.01,2hours35minutes59seconds,384667,3802,129562,2136,0.56%,225,63.17,1.79,2.83%,1minutes35seconds,Rainbow Couple,K,We Media,6/1/21
991,8/18/21 18:42,21248,21616,49,43506,2984818.84,5hours19minutes41seconds,1892210,8709,1204831,17132,0.91%,6112,68.61,1.58,2.30%,1minutes30seconds,Beibei Tu,K,We Media,8/18/21
992,8/18/21 12:08,49822,89306,49,102148,7403121.41,4hours52minutes42seconds,3881790,22918,4778311,72262,1.86%,31400,72.47,1.91,2.63%,1minutes45seconds,Beibei Tu,K,We Media,8/18/21
993,8/13/21 22:02,98199,123653,71,262157,28019980.97,3hours11minutes30seconds,3690033,56118,5642644,92683,2.51%,33136,106.88,7.6,7.10%,3minutes1seconds,Beibei Tu,K,We Media,8/13/21
994,8/13/21 19:34,101125,164738,38,247563,13402384.49,2hours8minutes1seconds,3230326,60167,5108865,107839,3.34%,29823,54.14,4.15,7.66%,2minutes25seconds,Beibei Tu,K,We Media,8/13/21
995,8/13/21 19:33,2,0,5,0,0,8seconds,2,0,0,0,0.00%,0, ,0, ,,Beibei Tu,K,We Media,8/13/21
996,8/10/21 19:33,15698,7827,66,41770,3499602.91,3hours24minutes7seconds,1019095,9620,1459464,3439,0.34%,588,83.78,3.43,4.10%,1minutes58seconds,Beibei Tu,K,We Media,8/10/21
997,8/10/21 12:17,33012,23703,58,59082,7353588.72,5hours5minutes55seconds,1872203,17124,7070301,11372,0.61%,1933,124.46,3.93,3.16%,2minutes51seconds,Beibei Tu,K,We Media,8/10/21
998,8/10/21 12:08,9451,659,14,71,3635.79,5minutes39seconds,35458,2875,38099,64,0.18%,0,51.21,0.1,0.20%,44seconds,Beibei Tu,K,We Media,8/10/21
999,8/4/21 19:42,164542,147791,91,91758,20448948.23,4hours35minutes39seconds,11473590,76306,6801527,79082,0.69%,4467,222.86,1.78,0.80%,1minutes52seconds,Beibei Tu,K,We Media,8/4/21
1000,8/4/21 10:17,85079,175988,108,190026,53698537.8,7hours57minutes23seconds,6055383,44739,46170152,106790,1.76%,22080,282.59,8.87,3.14%,3minutes32seconds,Beibei Tu,K,We Media,8/4/21
1001,8/4/21 10:05,12619,14601,29,413,13875.37,8minutes11seconds,53579,4541,618941,312,0.58%,0,33.6,0.29,0.77%,1minutes7seconds,Beibei Tu,K,We Media,8/4/21
1002,8/1/21 13:04,17949,15077,36,16033,128189.73,1hours23minutes34seconds,475490,13594,7626928,5649,1.19%,1508,8,0.27,3.37%,2minutes28seconds,Beibei Tu,K,We Media,8/1/21
1003,7/16/21 20:15,8168,1758,61,10006,654953.31,1hours58minutes7seconds,378936,5334,288768,433,0.11%,67,65.46,1.73,2.64%,1minutes45seconds,Beibei Tu,K,We Media,7/16/21
1004,7/16/21 16:31,12097,5125,62,17631,1285963.12,2hours37minutes,593633,8427,2302923,2509,0.42%,432,72.94,2.17,2.97%,2minutes17seconds,Beibei Tu,K,We Media,7/16/21
1005,7/16/21 11:04,22619,32514,60,42856,2523143.29,4hours42seconds,1309035,14587,10693243,12433,0.95%,3294,58.87,1.93,3.27%,2minutes43seconds,Beibei Tu,K,We Media,7/16/21
1006,7/10/21 20:28,5444,2307,17,2698,703639,2hours46seconds,372273,3618,148038,266,0.07%,28,260.8,1.89,0.72%,1minutes14seconds,Beibei Tu,K,We Media,7/10/21
1007,7/10/21 18:39,7106,2234,8,5053,571468.6,1hours23minutes52seconds,242802,3898,127018,330,0.14%,250,113.09,2.35,2.08%,1minutes24seconds,Beibei Tu,K,We Media,7/10/21
1008,7/6/21 19:23,20995,0,72,29729,2463917.76,2hours42minutes14seconds,1083026,13700,4357489,6938,0.64%,627,82.88,2.28,2.74%,2minutes6seconds,Beibei Tu,K,We Media,7/6/21
1009,7/6/21 11:07,41150,0,98,109808,8026493.91,5hours54minutes23seconds,3028538,23291,24188212,49176,1.62%,9989,73.1,2.65,3.63%,2minutes44seconds,Beibei Tu,K,We Media,7/6/21
1010,6/30/21 20:02,10327,5882,81,42348,2384626.25,3hours49minutes29seconds,917140,8060,1052732,1327,0.14%,294,56.31,2.6,4.62%,2minutes4seconds,Beibei Tu,K,We Media,6/30/21
1011,6/30/21 15:15,22032,14718,55,49287,3286910.01,3hours51minutes45seconds,1130813,10083,5012940,3782,0.33%,517,66.69,2.91,4.36%,2minutes6seconds,Beibei Tu,K,We Media,6/30/21
1012,6/27/21 19:42,35533,119454,79,88827,10174215.56,4hours18minutes4seconds,2734590,26415,15191005,28330,1.04%,11902,114.54,3.72,3.25%,2minutes32seconds,Beibei Tu,K,We Media,6/27/21
1013,6/27/21 12:02,73540,247887,104,226917,21012313.45,5hours47minutes22seconds,4904252,39217,51461788,87344,1.78%,29974,92.6,4.29,4.63%,2minutes48seconds,Beibei Tu,K,We Media,6/27/21
1014,6/20/21 19:43,60568,163957,51,134554,16128676.45,4hours21minutes59seconds,3491023,39480,38973174,51367,1.47%,12709,119.87,4.62,3.85%,2minutes59seconds,Beibei Tu,K,We Media,6/20/21
1015,6/20/21 12:48,108811,558318,75,279267,35194000.22,5hours48minutes50seconds,6613961,62513,118888052,174826,2.64%,77789,126.02,5.33,4.22%,3minutes20seconds,Beibei Tu,K,We Media,6/20/21
1016,6/20/21 12:01,58068,86361,35,7,7,28minutes1seconds,354442,33157,13858616,15517,4.38%,0,1,0.02,0.00%,3minutes8seconds,Beibei Tu,K,We Media,6/20/21
1017,6/16/21 16:14,7681,2717, , , ,1hours43minutes3seconds,254034,5205,194569,488,0.19%,81, ,0, ,2minutes11seconds,Beibei Tu,K,We Media,6/16/21
1018,6/14/21 17:43,15110,24756,63,24038,2734461,4hours24minutes1seconds,985123,8017,4033410,8779,0.89%,3825,113.76,2.78,2.44%,2minutes11seconds,Beibei Tu,K,We Media,6/14/21
1019,6/14/21 12:14,29921,132761,43,24018,1152018.4,3hours31minutes59seconds,1640301,18889,31488222,40739,2.48%,25092,47.96,0.71,1.46%,2minutes29seconds,Beibei Tu,K,We Media,6/14/21
1020,6/12/21 11:05,22844,34112,56,78870,5050221.39,7hours37minutes56seconds,1913487,12177,7962361,17838,0.93%,6115,64.03,2.64,4.12%,2minutes56seconds,Beibei Tu,K,We Media,6/12/21
1021,6/8/21 18:48,13409,7804,66,34791,2056376.2,3hours30minutes53seconds,836553,8990,2730067,5115,0.61%,1108,59.11,2.46,4.16%,2minutes17seconds,Beibei Tu,K,We Media,6/8/21
1022,6/8/21 11:11,26364,24990,69,99700,6060665.9,6hours34minutes4seconds,1875854,12913,6151645,16513,0.88%,3912,60.79,3.23,5.31%,2minutes42seconds,Beibei Tu,K,We Media,6/8/21
1023,6/6/21 19:52,10019,3434,73,69574,4022685.2,5hours56seconds,1017755,7299,481854,1394,0.14%,150,57.82,3.95,6.84%,2minutes10seconds,Beibei Tu,K,We Media,6/6/21
1024,6/6/21 15:05,10982,6621,56,54805,3222423.3,3hours29minutes1seconds,771228,8293,719785,1278,0.17%,122,58.8,4.18,7.11%,2minutes15seconds,Beibei Tu,K,We Media,6/6/21
1025,6/4/21 18:52,14610,7728,40,15473,3093925.1,2hours21minutes34seconds,547736,8955,1435319,6070,1.11%,750,199.96,5.65,2.82%,2minutes22seconds,Beibei Tu,K,We Media,6/4/21
1026,6/4/21 11:02,31033,64542,40,38860,20131897,6hours46minutes24seconds,2461424,17582,18321577,48488,1.97%,10589,518.06,8.18,1.58%,2minutes56seconds,Beibei Tu,K,We Media,6/4/21
1027,6/2/21 18:42,16441,19899,41,44489,6238058.4,4hours46minutes27seconds,1279336,11307,2751891,12605,0.99%,2600,140.22,4.88,3.48%,2minutes19seconds,Beibei Tu,K,We Media,6/2/21
1028,6/2/21 11:00,32448,104992,50,97861,12001991.2,6hours33minutes21seconds,2862462,18628,19549972,62541,2.18%,22894,122.64,4.2,3.42%,2minutes36seconds,Beibei Tu,K,We Media,6/2/21
1029,8/28/21 18:55,26203,47715,79,44673,3275449.48,5hours44minutes40seconds,2138236,15489,1748216,13151,0.62%,3939,73.32,1.53,2.09%,2minutes36seconds,Cao Ying,C,Actor/Actress,8/28/21
1030,8/28/21 11:57,28514,80563,67,65143,3367868.95,5hours40minutes37seconds,2010565,18546,2199242,19318,0.96%,5330,51.7,1.68,3.24%,3minutes6seconds,Cao Ying,C,Actor/Actress,8/28/21
1031,8/26/21 18:31,27328,78898,93,58385,9469698.51,6hours13minutes3seconds,2319381,17985,1059850,30538,1.32%,6034,162.19,4.09,2.52%,2minutes57seconds,Cao Ying,C,Actor/Actress,8/26/21
1032,8/26/21 11:55,22033,68091,45,32941,4718533.92,5hours7minutes17seconds,1503103,14069,1101014,20737,1.38%,4705,143.24,3.14,2.19%,2minutes55seconds,Cao Ying,C,Actor/Actress,8/26/21
1033,8/22/21 21:52,11804,42076,28,2086,38383.2,1hours22minutes7seconds,430069,6737,305878,2488,0.58%,911,18.4,0.1,0.49%,1minutes23seconds,Cao Ying,C,Actor/Actress,8/22/21
1034,8/22/21 17:08,11348,118397,21,1959,22934.9,1hours23minutes6seconds,461299,8333,456252,4772,1.03%,1480,11.71,0.08,0.42%,1minutes36seconds,Cao Ying,C,Actor/Actress,8/22/21
1035,8/18/21 12:01,7509,6495, , , ,46minutes25seconds,202375,5050,42949,1456,0.72%,61, ,0, ,1minutes17seconds,Cao Ying,C,Actor/Actress,8/18/21
1036,8/17/21 19:54,9968,12338,1,423,41855.6,52minutes1seconds,286785,5377,41076,993,0.35%,41,98.95,0.15,0.15%,1minutes4seconds,Cao Ying,C,Actor/Actress,8/17/21
1037,8/13/21 10:33,3944,3461, , , ,3minutes19seconds,9805,986,2465,19,0.19%,0, ,0.04, ,37seconds,Cao Ying,C,Actor/Actress,8/13/21
1038,8/12/21 21:53,15400,103279,11,7993,419792.57,2hours15minutes37seconds,1001681,9752,507912,8110,0.81%,2079,52.52,0.43,0.80%,1minutes21seconds,Cao Ying,C,Actor/Actress,8/12/21
1039,8/12/21 21:39,12323,15922, , , ,13minutes38seconds,109809,6032,24964,938,0.85%,0, ,0.01, ,1minutes3seconds,Cao Ying,C,Actor/Actress,8/12/21
1040,8/10/21 17:11,15695,45191,1,1013,100287,50minutes26seconds,354669,7801,74644,2714,0.77%,414,99,0.3,0.29%,1minutes13seconds,Cao Ying,C,Actor/Actress,8/10/21
1041,8/8/21 17:57,20034,49235,120,12429,7099793,9hours27minutes45seconds,1399701,12239,276067,8063,0.58%,577,571.23,5.08,0.89%,5minutes,Cao Ying,C,Actor/Actress,8/8/21
1042,8/7/21 19:32,17823,31227,87,10776,9779814,6hours28minutes41seconds,1284644,14119,593942,8781,0.68%,443,907.56,7.62,0.84%,4minutes18seconds,Cao Ying,C,Actor/Actress,8/7/21
1043,8/7/21 14:56,19180,50501,38,5677,2804075,3hours33minutes56seconds,916737,13723,1123448,8012,0.87%,570,493.94,3.06,0.62%,3minutes18seconds,Cao Ying,C,Actor/Actress,8/7/21
1044,8/6/21 21:36,4984,93282, , , ,57minutes29seconds,123864,2479,202239,488,0.39%,-60, ,0.08, ,1minutes14seconds,Cao Ying,C,Actor/Actress,8/6/21
1045,8/5/21 17:00,24068,47607,20,8577,837373.2,2hours20minutes39seconds,676262,14328,558113,6192,0.92%,588,97.63,1.25,1.27%,3minutes3seconds,Cao Ying,C,Actor/Actress,8/5/21
1046,8/5/21 11:57,24498,56559,22,15289,1974816.1,3hours52minutes8seconds,1259980,15802,1911788,13756,1.09%,1722,129.17,1.57,1.21%,2minutes58seconds,Cao Ying,C,Actor/Actress,8/5/21
1047,8/4/21 19:00,26045,126852,24,18435,2833571.5,5hours3minutes28seconds,1848663,17213,1728868,23563,1.27%,1289,153.71,1.54,1.00%,2minutes50seconds,Cao Ying,C,Actor/Actress,8/4/21
1048,8/4/21 14:53,63136,57808,22,16866,2736636.2,3hours7minutes15seconds,1809252,14988,3384557,37130,2.05%,4774,162.26,1.52,0.93%,1minutes35seconds,Cao Ying,C,Actor/Actress,8/4/21
1049,7/28/21 11:59,41215,96513,100,228140,41953414.3,11hours16minutes29seconds,8397161,22724,3286650,202814,2.42%,13424,183.89,5,2.72%,1minutes50seconds,Cao Ying,C,Actor/Actress,7/28/21
1050,7/25/21 19:53,26913,82200,56,53247,2612262.65,4hours49minutes59seconds,2559730,13197,3135896,32648,1.28%,9875,49.06,1.02,2.08%,1minutes30seconds,Cao Ying,C,Actor/Actress,7/25/21
1051,7/25/21 10:55,48175,141097,72,98873,4034338.6,7hours5minutes6seconds,4222676,18031,5277890,76774,1.82%,34673,40.8,0.96,2.34%,1minutes50seconds,Cao Ying,C,Actor/Actress,7/25/21
1052,7/20/21 10:22,4267,17652, , , ,24minutes5seconds,59047,2630,20929,378,0.64%,0, ,0.03, ,1minutes11seconds,Cao Ying,C,Actor/Actress,7/20/21
1053,7/19/21 12:56,22904,41765,29,27998,2348803.98,5hours42minutes27seconds,1223418,13001,1037399,15610,1.28%,1991,83.89,1.92,2.29%,3minutes42seconds,Cao Ying,C,Actor/Actress,7/19/21
1054,7/18/21 19:59,21479,36109,25,25772,3002003.49,5hours29minutes28seconds,1260443,14377,429377,15453,1.23%,933,116.48,2.38,2.04%,3minutes48seconds,Cao Ying,C,Actor/Actress,7/18/21
1055,7/18/21 13:00,31783,100957,18,53163,3679559.6,5hours1minutes45seconds,1745461,18427,3567455,33030,1.89%,3851,69.21,2.11,3.05%,3minutes13seconds,Cao Ying,C,Actor/Actress,7/18/21
1056,7/17/21 21:10,11234,139309, , , ,1hours55minutes39seconds,637795,7099,400604,8054,1.26%,1402, ,0.02, ,1minutes21seconds,Cao Ying,C,Actor/Actress,7/17/21
1057,7/16/21 20:08,8174,107921,2,628,48007,2hours12minutes11seconds,499780,5293,148423,3741,0.75%,210,76.44,0.12,0.13%,1minutes24seconds,Cao Ying,C,Actor/Actress,7/16/21
1058,7/16/21 19:48,11780,4224, , , ,20minutes27seconds,137678,7337,56234,1375,1.00%,0, ,0, ,1minutes14seconds,Cao Ying,C,Actor/Actress,7/16/21
1059,7/15/21 18:10,19744,56565, , , ,1hours7minutes18seconds,353130,8400,144437,5242,1.48%,767, ,0.02, ,1minutes41seconds,Cao Ying,C,Actor/Actress,7/15/21
1060,7/14/21 19:01,39588,104528,50,59799,7984101.37,6hours7minutes54seconds,2298606,23878,2326809,38417,1.67%,3272,133.52,3.48,2.60%,3minutes51seconds,Cao Ying,C,Actor/Actress,7/14/21
