Video_content,Release_time,The_video_duration,Estimated_Sales_volume_(pieces),Estimated_sales_amount,Number_of_likes,Number_of_comments,Number_of_reposts,Name
最近皮肤状态挺好的#神仙发色 #温柔风 #游鹿鹿,07-13 18:53:30,8秒,--,--,2839,398,50,Lovemimius
购物的快乐感，就是不停的拆拆拆#温柔风 #高级感穿搭 #小个子显高显瘦穿搭 #游鹿鹿,07-13 10:24:03,14秒,--,--,4479,509,282,Lovemimius
一顿烧烤钱都不需要就能拥有这么好看的毛衣开衫 真香！#穿搭 #温柔风 #甜美穿搭 #游鹿鹿,07-13 07:03:23,11秒,--,--,15921,714,615,Lovemimius
虽然我们时常吵架，但是我老公巴不得把全世界都给我 #穿搭 #探店 #恋爱日常 #游鹿鹿,07-12 19:32:31,15秒,--,--,26879,1029,546,Lovemimius
你们想看的我家，真的除了床上，全是衣服！茫茫衣海，我又找不到我的手机了！#衣帽间 #游鹿鹿,07-11 11:31:14,23秒,--,--,24194,994,1040,Lovemimius
一个逛街的小小日常#高级感穿搭 #游鹿鹿 #包治百病 #探店,07-11 07:08:39,16秒,--,--,32029,793,716,Lovemimius
早秋衬衫分享 都是珍藏啊#小个子显高显瘦穿搭 #温柔风 #高级感穿搭 #游鹿鹿,07-10 20:21:18,16秒,--,--,12509,569,342,Lovemimius
小香风来咯！#小香风外套 #小个子显高显瘦穿搭 #温柔风 #游鹿鹿,07-10 07:10:16,15秒,--,--,12354,702,880,Lovemimius
早秋的外套，除了好看还能说啥？#小个子显高显瘦穿搭 #西装搭配 #游鹿鹿,07-09 19:50:50,10秒,--,--,17098,789,672,Lovemimius
#想到都是你我的宝贝  看到的都是我的宝贝们#甜美女孩 #游鹿鹿,07-06 21:39:15,8秒,--,--,11378,648,192,Lovemimius
可以穿到秋天的小裙子#超仙连衣裙 #温柔风穿搭 #法式浪漫 #游鹿鹿,07-06 10:26:30,10秒,--,--,6816,262,85,Lovemimius
感谢你们对我的偏心#游鹿鹿 #日常穿搭,07-06 07:42:06,17秒,--,--,7516,228,90,Lovemimius
我可太喜欢这衬衫啦 #沉浸式穿搭 #甜美女孩 #小个子显高显瘦穿搭 #游鹿鹿,07-05 20:08:08,13秒,--,--,6244,371,140,Lovemimius
海能藏住我对你的思念吗 #不说 #游鹿鹿#小个子显高显瘦穿搭 #日常穿搭,07-04 12:46:36,16秒,--,--,4514,136,46,Lovemimius
女孩子的裙子能撑起所有的温柔和盛夏吧#法式浪漫 #超仙连衣裙 #温柔风穿搭 #游鹿鹿,07-04 11:09:57,11秒,--,--,12828,260,165,Lovemimius
没有比这件更好的风衣了，不接受反驳#小个子穿搭 #温柔风穿搭 #风衣#游鹿鹿,07-04 07:00:56,12秒,--,--,15018,644,518,Lovemimius
只做个普普通通的人#甜美女孩 #小个子穿搭 #游鹿鹿,07-03 20:34:32,12秒,--,--,6361,240,45,Lovemimius
我说的暗号你们听懂，那我打上字幕！#沉浸式穿搭 #小个子穿搭 #游鹿鹿,07-03 08:46:01,12秒,--,--,10694,466,201,Lovemimius
夏天还没非常热，秋装就已经开始了呀#甜系女孩 #甜美女孩 #日常穿搭 #小个子穿搭 #游鹿鹿,07-02 07:00:53,13秒,--,--,10893,447,109,Lovemimius
和暗恋的人表白 必须拥有的小裙子#法式浪漫 #蕾丝 #超仙连衣裙 #游鹿鹿,07-01 20:03:50,11秒,--,--,15067,249,114,Lovemimius
七分靠打扮 衣服占一半#甜系女孩 #法式浪漫 #温柔风穿搭 #游鹿鹿,06-30 08:48:45,10秒,--,--,4333,334,99,Lovemimius
留不住的就不要了 爱不爱的烦死了#日常穿搭 #美出高级感 #韩风搭配 #游鹿鹿,06-30 08:47:59,29秒,--,--,4913,163,52,Lovemimius
这样好的阳光 这么美的裙子#温柔风穿搭 #白色连衣裙 #超仙连衣裙 #游鹿鹿,06-30 07:01:11,12秒,--,--,6340,279,89,Lovemimius
你追逐世界 我追逐你的背影#甜系女孩 #甜美女孩 #游鹿鹿 #日常穿搭,06-29 19:42:22,13秒,--,--,8279,406,61,Lovemimius
杭州的夏天是热带雨林吗？#温柔风穿搭 #甜系女孩 #法式浪漫 #游鹿鹿,06-29 07:00:39,18秒,--,--,4223,288,34,Lovemimius
这歌真的太上头了吧#甜系女孩 #甜美女孩 #韩风搭配 #游鹿鹿,06-27 08:39:53,24秒,--,--,7119,523,107,Lovemimius
像棉花糖一样柔软的提花连衣裙#女装测评 #温柔风穿搭 #游鹿鹿,06-26 08:40:15,11秒,--,--,3903,507,112,Lovemimius
假装唱歌很厉害的样子！#甜美女孩 #日常穿搭 #游鹿鹿,06-26 08:40:07,10秒,--,--,5325,270,64,Lovemimius
谁能抵得过一见钟情！#温柔风穿搭 #超仙连衣裙 #穿搭 #女装测评 #游鹿鹿,06-26 07:03:44,16秒,--,--,11541,381,101,Lovemimius
穿着小裙子 去海边吹晚风 一定能吹散许多不愉快#温柔风穿搭 #微胖女孩 #游鹿鹿,06-25 19:58:22,13秒,--,--,9632,318,75,Lovemimius
你们永远是我的宝贝，包容我的坏脾气#法式浪漫 #甜系女孩 #游鹿鹿,06-25 08:43:36,11秒,--,--,3607,201,44,Lovemimius
需不需要来一件蜜雪冰城#法式浪漫 #游鹿鹿 #温柔风穿搭,06-25 07:00:39,14秒,--,--,11707,535,156,Lovemimius
夏天将会永远被怀念 记住你曾是少年#法式浪漫 #毕业时才知道这些歌有多扎心 #游鹿鹿,06-24 20:01:02,20秒,--,--,10086,427,76,Lovemimius
这件衬衫不接受任何反驳！#温柔风穿搭 #韩风搭配 #微胖女孩 #游鹿鹿,06-24 13:18:34,6秒,--,--,2180,278,54,Lovemimius
生活要一直浪漫，人要一直可爱啊#温柔风穿搭 #韩风搭配 #游鹿鹿,06-24 10:01:08,8秒,--,--,7696,157,116,Lovemimius
原来我们之间已经没有任何关系#甜系女孩 #温柔风穿搭 #游鹿鹿,06-24 08:45:59,11秒,--,--,7636,189,54,Lovemimius
生活匆忙，别忘记夕阳 这一刻太美了！#甜系女孩 #温柔风穿搭 #游鹿鹿,06-24 07:00:32,8秒,--,--,6935,169,97,Lovemimius
今天我选第五条！#温柔风穿搭 #游鹿鹿 #甜系女孩,06-23 20:00:08,11秒,--,--,6552,439,143,Lovemimius
未经允许，擅自喜欢你了，不好意思#甜系女孩 #甜美风 #游鹿鹿,06-23 11:25:09,6秒,--,--,6742,209,81,Lovemimius
希望你们永远在我身边！#甜系女孩 #微胖女孩 #游鹿鹿,06-23 08:51:09,5秒,--,--,6372,289,99,Lovemimius
今天穿这件小裙子，能遇见你吗#甜系女孩 #温柔风穿搭 #游鹿鹿,06-23 07:00:43,7秒,--,--,6017,357,102,Lovemimius
到底要买什么型号的手机，你才会打电话给我嘛！#韩风搭配 #微胖女孩 #游鹿鹿,06-22 19:50:31,10秒,--,--,6346,552,164,Lovemimius
到底要买哪条小裙子才能收到男孩子的表白呀！#温柔风穿搭 #超仙连衣裙,06-21 20:05:53,19秒,--,--,4860,527,137,Lovemimius
